NAME	DESCRIPTION	MGH-BrCa-H-74_htsqct	MGH-BrCa-H-68_htsqct	MGH-BrCa-H-66_htsqct	MGH-BrCa-H-59_htsqct	MGH-BrCa-H-11_htsqct	HD-5_htsqct	HD-4_htsqct	HD-3-1_htsqct	HD-2-1_htsqct	HD-1_htsqct
MRPL15	MRPL15	13.9916467376655	1.49496494322204	18.7725457405943	5.66590084221238	20.145014500916	12.6994924996499	15.3012930683808	15.2906019704243	9.24554147630884	20.3885646312086
TGS1	TGS1	3.49791168441637	20.9295092051085	8.53297533663377	22.6636033688495	16.7875120840967	7.61969549978992	30.6025861367616	17.474973680485	12.7126195299246	27.9614600656575
SDCBP	SDCBP	664.603220039109	453.721860267888	423.235576697035	260.63143874177	378.278605628311	93.976244497409	291.744654503794	468.547731808003	544.331254417683	86.797032287145
NEK1	NEK1	32.6471757212194	57.5561503140484	48.6379594188125	36.8283554743805	29.0983542791009	66.0373609981793	103.028706660431	27.3046463757578	39.2935512743125	34.3692946640373
DDX60	DDX60	12.8256761761933	46.3439132398831	9.38627287029714	8.49885126331857	7.83417230591177	22.8590864993698	40.8034481823488	5.46092927515155	32.3593951670809	17.4759125410359
SORL1	SORL1	4.66388224588849	14.9496494322204	37.5450914811886	0	67.7096320725232	45.7181729987395	58.1449136598471	91.7436118225461	94.7668001321656	129.321752803666
TRPC6	TRPC6	5.82985280736061	15.6971319038314	9.38627287029714	76.4896613698672	23.5025169177353	6.34974624982493	2.04017240911744	0	13.8683122144633	0
DCUN1D5	DCUN1D5	0	7.47482471611018	4.26648766831688	5.66590084221238	5.036253625229	7.61969549978992	38.7632757732314	5.46092927515155	3.46707805361581	8.73795627051795
RDX	RDX	59.4644986350782	36.6266411089399	66.5572076257434	65.1578596854424	71.0671344893425	40.6383759988796	81.6068963646977	17.474973680485	33.5150878516195	50.6801463690041
PPP2R1B	PPP2R1B	13.9916467376655	8.96978965933222	25.5989260099013	0	13.4300096672773	1.26994924996499	2.04017240911744	14.198416115394	25.4252390598493	5.24277376231077
CASP1	CASP1	40.8089696515243	70.2633523314357	93.0094311693081	11.3318016844248	49.2433687800168	62.2275132482843	97.9282756376372	68.8077088669096	234.605614961337	427.577326837345
MAP2K5	MAP2K5	39.6429990900521	10.4647546025543	33.2786038128717	0	5.036253625229	2.53989849992997	1.02008620455872	0	0	6.99036501641436
SQOR	SQOR	9.32776449177697	11.9597195457763	12.7994630049507	14.164752105531	16.2279283479601	21.5891372494048	36.723103364114	8.73748684024248	13.8683122144633	60.5831634755911
CTDSPL2	CTDSPL2	9.32776449177697	6.72734224449916	9.38627287029714	8.49885126331857	16.7875120840967	30.4787819991597	9.18077584102849	36.0421332160002	6.93415610723163	21.5536254672776
SLTM	SLTM	327.637727773666	956.030081190492	668.985266392087	410.777811060398	599.31418140225	504.1698522361	484.540947165392	317.82608381382	325.905337039886	281.362191910678
THBS1	THBS1	832.502980891095	852.877500108172	762.847995095059	1107.68361465252	653.593803807496	304.787819991597	127.51077556984	860.642453763885	558.199566632146	66.4084676559364
NUSAP1	NUSAP1	0	32.1417462792738	12.7994630049507	16.9977025266371	16.2279283479601	6.34974624982493	2.04017240911744	29.4890180858184	5.77846342269302	7.57289543444889
KNL1	KNL1	0	4.48489482966611	13.652760538614	5.66590084221238	7.83417230591177	11.4295432496849	16.3213792729395	14.198416115394	1.1556926845386	2.33012167213812
HAUS2	HAUS2	4.66388224588849	6.72734224449916	7.67967780297039	0	4.47666988909244	10.1595939997199	18.361551682057	0	20.8024683216949	54.7578592952458
RTF1	RTF1	18.6555289835539	50.8288080695492	40.1049840821787	25.4965537899557	49.8029525161534	68.5772594981093	57.1248274552884	12.0140444053334	32.3593951670809	51.8452072050732
PARP6	PARP6	55.9665869506618	74.7482471611018	69.9703977603969	59.49195884323	67.7096320725232	5.07979699985995	4.08034481823488	29.4890180858184	30.0480097980037	26.2138688115539
